	CGM_0	CGM_1	CGM_2	CGM_3
7f84b583-d817-4e6b-ba5a-eefeea0696a1	2.8608722925163015	4.28965826704053	3.951234063121242	2.444446737022849
62162b44-2b73-4125-beda-4d238da07b57	3.58563967450995	2.764175336497313	2.8568976830915136	2.6884723490446234
bde8adb0-674a-46a3-b9c3-079bc55e6b84	1.4865740023742076	2.46393387329687	4.358200838652146	4.9596427205204545
c60f5d01-ee5f-48ea-808f-f753ab98a850	3.6422556738256993	2.0192281204775298	3.2261866585014487	4.23490212847222
99516a60-a265-479e-a779-81703a4c494f	2.1352335897966346	3.973802804041722	2.843098158406917	3.1720411774790014
97d3ce96-9be7-4460-8729-53b991892c11	3.735125441969589	1.6544671305687135	2.268156751653149	2.8238769328814803
7a47ff36-fa81-4b90-b88c-93f67128570e	3.7339585129422135	2.3062695672320266	3.138943617532182	4.0521951038632364
ff6b582d-e2ac-4cca-b436-8e886e6cb518	1.342166660925673	3.366661651121638	4.64833908053528	3.738063690416473
e8a28c61-858b-4904-bf49-196d4f264221	4.290661872413364	1.8629077618655518	1.3055540919912922	1.1376907212141316
a4362780-266c-4912-bfb5-ffbff4661e4a	3.415356615288643	1.6646196319246602	3.390925688507642	3.578118344230044
a71fe12b-33e5-4ce6-a39f-c506c7e1d44e	2.3040562724027898	4.0994931567777	3.463664430401464	2.0080856643821416
aa60f7c7-fa2f-483e-8c4b-26f9bc4b72c3	3.522193803160343	2.311201979574152	3.8714991008331734	3.9945674658417554
20b3a2ac-5086-48f2-81d1-8f65d92a2c29	2.0189312028599518	3.780414227524156	3.486307624370504	3.8364630578150374
221dac32-9dcb-414d-a68d-238cde1178e1	1.8176815169957679	4.414408460419087	2.1035168323318114	2.741252028983759
9a59cb30-89ee-4061-be7f-b5d6f268b86a	3.395759678603827	2.4413211344370063	1.5094412287058945	1.4948286877816293
